,alpha,avg_net_reward,epsilon,final_deadline,gamma,net_reward,success
298,0.6,18.215109127,0.05,7.98,0.55,18.12,0.57
299,0.6,20.1280357143,0.05,6.81,0.6,20.71,0.48
300,0.6,15.4022539683,0.05,3.54,0.65,15.555,0.25
301,0.6,18.3228829365,0.05,2.44,0.7,18.25,0.16
302,0.6,21.9889742063,0.05,5.92,0.75,22.47,0.45
303,0.6,21.1293511905,0.05,6.62,0.8,21.77,0.5
304,0.6,18.958843254,0.05,8.16,0.85,19.565,0.62
305,0.6,21.5083968254,0.05,6.67,0.9,21.81,0.52
306,0.6,15.6383214286,0.05,6.06,0.95,15.63,0.44
307,0.6,13.4204920635,0.05,7.54,1.0,13.825,0.55
308,0.65,18.8556944444,0.05,9.06,0.5,19.345,0.58
309,0.65,15.4258234127,0.05,6.51,0.55,15.705,0.47
310,0.65,19.2164563492,0.05,9.71,0.6,19.855,0.65
311,0.65,16.0325515873,0.05,5.29,0.65,16.6,0.36
312,0.65,20.9321468254,0.05,7.03,0.7,21.405,0.54
313,0.65,19.5229781746,0.05,9.33,0.75,19.56,0.6
314,0.65,22.371875,0.05,8.75,0.8,22.76,0.65
315,0.65,19.0178293651,0.05,8.08,0.85,19.535,0.57
316,0.65,20.9951984127,0.05,11.78,0.9,21.2,0.81
317,0.65,14.1102242063,0.05,5.45,0.95,14.72,0.4
318,0.65,12.4429285714,0.05,4.54,1.0,12.235,0.38
319,0.7,16.923265873,0.05,6.9,0.5,17.42,0.48
320,0.7,14.4353511905,0.05,6.49,0.55,14.66,0.48
321,0.7,15.0667599206,0.05,7.24,0.6,15.665,0.47
322,0.7,19.2450019841,0.05,5.95,0.65,19.315,0.42
323,0.7,15.6310833333,0.05,2.52,0.7,15.77,0.23
324,0.7,16.9256666667,0.05,4.49,0.75,17.26,0.31
325,0.7,19.6336150794,0.05,6.92,0.8,19.305,0.5
326,0.7,21.2773551587,0.05,6.16,0.85,21.09,0.42
327,0.7,23.114375,0.05,7.44,0.9,23.21,0.54
